id,name,type,sex,age,komitee,position,representation,power
ThoHit,Thomas Hitzlsperger,0,1,0,1,1,1,2
TobKel,Tobias Keller,0,1,0,1,1,5,0
OliSch,Oliver Schraft,0,1,2,1,3,6,1
ClaVog,Claus Vogt,0,1,2,2,1,3,2
WilPor,Wilfried Porth,0,1,3,2,2,2,2
RaiAdr,Rainer Adrion,0,1,3,2,3,1,2
HarJen,Hartmut Jenner,0,1,2,2,3,2,1
FraRei,Franz Reiner,0,1,2,2,3,2,1
BerSug,Bertram Sugg,0,1,2,2,3,4,0
VfBeV,VfB Stuttgart 1893 e.V. ,1,NA,NA,NA,NA,NA,2
VfBAG,VfB Stuttgart 1893 AG,1,NA,NA,NA,NA,NA,2
Daimler,Daimler AG und Tochtergesellschaften,1,NA,NA,NA,NA,NA,2
Bosch,Robert Bosch GmbH,1,NA,NA,NA,NA,NA,2
DAFK,Deutsche Akademie fuer Fussball-Kultur,1,NA,NA,NA,NA,NA,1
BMH,Bundesstiftung Magnus Hirschfeld,1,NA,NA,NA,NA,NA,1
DFB,Deutscher Fussball Bund,1,NA,NA,NA,NA,NA,2
DFL,Deutsche Fussball Liga,1,NA,NA,NA,NA,NA,2
Elfhilft,11hilft e.V.,1,NA,NA,NA,NA,NA,0
HMSS,Hanns Martin Schleyer-Stiftung,1,NA,NA,NA,NA,NA,1
AKKG,Alfred Kaercher SE & Co. KG,1,NA,NA,NA,NA,NA,1
AKF,Alfred-Kaercher-Foerderstiftung,1,NA,NA,NA,NA,NA,0
FCPF,FC PlayFair! - Verein fuer Integritaet im Profifussball e.V.,1,NA,NA,NA,NA,NA,0
Intesia,Intesia Group Holding GmbH,1,NA,NA,NA,NA,NA,1
SWM,Suedwestmetall - Verband der Metall- und Elektroindustrie Baden-Wuerttemberg e. V. ,1,NA,NA,NA,NA,NA,2
FCG,Fanclub Courage Gerlingen,1,NA,NA,NA,NA,NA,0
KCM,Kommission Clubmedien DFL,1,NA,NA,NA,NA,NA,0
